transaction_id,client_id,conversion_timestamp,revenue,first_click_source,first_click_medium,first_click_campaign,first_click_channel,last_click_source,last_click_medium,last_click_campaign,last_click_channel,touchpoint_count,days_to_convert,conversion_date
ORD-20250226-138,16C594DF-8deb-4DAB-b767-efc3b82360e6,2025-02-26 22:46:57.087000+00:00,1599.0,direct,none,,Direct,direct,none,,Direct,0,0,2025-02-26
ORD-20250223-124,1735590428-Rw8e53NUAyqh,2025-02-23 11:01:15.499000+00:00,179.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-02-23
ORD-20250227-567,1735611495-J_n2T1HK7vPv,2025-02-27 00:34:23.765000+00:00,1899.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-02-27
ORD-20250303-311,1735913255-pA-h3CMo96w0,2025-03-03 17:42:24.012000+00:00,1599.0,direct,none,,Direct,direct,none,,Direct,0,0,2025-03-03
ORD-20250228-150,1736048074-aDVs3Y9A_D_y,2025-02-28 13:55:33.505000+00:00,1449.0,direct,none,,Direct,direct,none,,Direct,0,0,2025-02-28
ORD-20250303-461,1736137782-qnlIPdOzIMIV,2025-03-03 04:24:13.773000+00:00,262.0,google,organic,,Organic Search,google,cpc,google_ads,Paid Search,2,0,2025-03-03
ORD-20250224-231,1736790828-mW3_FOMhXHNK,2025-02-24 13:57:51.139000+00:00,1349.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-02-24
ORD-20250225-168,1736790828-mW3_FOMhXHNK,2025-02-25 14:40:29.060000+00:00,307.0,direct,none,,Direct,3F8844,9A780E,7B0203,Other,2,1,2025-02-25
ORD-20250225-783,1737213027-8b0K2x6ACOek,2025-02-25 21:18:40.823000+00:00,899.0,6C8EBC,DAFE40,B13F64,Other,6C8EBC,DAFE40,B13F64,Other,1,0,2025-02-25
ORD-20250306-159,1737221798-dp1kMRfVStrp,2025-03-06 00:01:10.942000+00:00,229.0,direct,none,,Direct,direct,none,,Direct,6,3,2025-03-06
ORD-20250303-351,1737382881-hEun5tD7Ri_v,2025-03-03 14:37:41.183000+00:00,179.0,direct,none,,Direct,direct,none,,Direct,2,0,2025-03-03
ORD-20250301-229,1737588711-y19MZTLwAlS_,2025-03-01 00:15:22.719000+00:00,349.0,google,cpc,google_ads,Paid Search,google,cpc,google_ads,Paid Search,1,0,2025-03-01
ORD-20250223-823,1737909439-m_4_M4HT3Clc,2025-02-23 20:00:44.784000+00:00,204.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-02-23
ORD-20250228-388,1738009852-5QlHRCUAcC8Q,2025-02-28 13:54:26.922000+00:00,2654.0,direct,none,,Direct,direct,none,,Direct,0,0,2025-02-28
ORD-20250223-250,1738114715-VE0OVI-6MY_q,2025-02-23 02:21:03.443000+00:00,1277.0,direct,none,,Direct,direct,none,,Direct,0,0,2025-02-23
ORD-20250225-265,1738458171-9vJJikpUTOb1,2025-02-25 22:23:34.816000+00:00,262.0,4CE5B2,9A780E,8F0DE1,Other,4CE5B2,9A780E,8F0DE1,Other,2,1,2025-02-25
ORD-20250308-307,1738717293-A8SGrDCUzoxx,2025-03-08 23:25:23.260000+00:00,1049.0,google,cpc,ED265E,Paid Search,google,cpc,ED265E,Paid Search,2,3,2025-03-08
ORD-20250223-668,1738897592-wHdPs3e8dycN,2025-02-23 16:33:13.884000+00:00,262.0,AF630F,7B4C8A,,Other,AF630F,7B4C8A,,Other,1,0,2025-02-23
ORD-20250228-318,1738964752-g2l-ElXufGyB,2025-02-28 19:00:44.532000+00:00,0.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-02-28
ORD-20250306-685,1738964752-g2l-ElXufGyB,2025-03-06 20:50:22.674000+00:00,0.0,direct,none,,Direct,direct,none,,Direct,2,6,2025-03-06
ORD-20250228-293,1738979354-oafNfBd0b1z2,2025-02-28 23:33:51.414000+00:00,102.0,google,cpc,google_ads,Paid Search,18F8FA,9A780E,504D81,Other,2,2,2025-02-28
ORD-20250306-280,1739042523-0dWy0onVklGz,2025-03-06 10:41:10.416000+00:00,2618.0,CC0158,DAFE40,52375E,Other,direct,none,,Direct,4,4,2025-03-06
ORD-20250308-435,1739118999-f2iFqbh8JCVu,2025-03-08 03:47:16.745000+00:00,2648.0,direct,none,,Direct,B49B20,9A780E,BFE74A,Other,2,1,2025-03-08
ORD-20250226-142,1739169598-7sjOuU60Y6Eo,2025-02-26 07:25:37.872000+00:00,1427.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-02-26
