date,channel,conversions,revenue,attribution_model
2025-02-23,Direct,13,12986.0,first_click
2025-02-23,Other,6,2574.0,first_click
2025-02-23,Paid Search,2,4848.0,first_click
2025-02-24,Affiliate,2,1820.6,first_click
2025-02-24,Direct,16,17436.0,first_click
2025-02-24,Other,4,2205.0,first_click
2025-02-24,Paid Search,4,3996.0,first_click
2025-02-25,Direct,8,3968.0,first_click
2025-02-25,Other,3,1960.0,first_click
2025-02-25,Paid Search,5,7615.0,first_click
2025-02-26,Affiliate,1,1549.0,first_click
2025-02-26,Direct,7,10650.0,first_click
2025-02-26,Other,3,709.0,first_click
2025-02-26,Paid Search,3,4197.0,first_click
2025-02-27,Direct,9,8452.0,first_click
2025-02-27,Other,4,2212.0,first_click
2025-02-27,Paid Search,7,4885.0,first_click
2025-02-28,Affiliate,1,799.0,first_click
2025-02-28,Direct,8,12231.0,first_click
2025-02-28,Organic Search,1,245.0,first_click
2025-02-28,Other,5,2845.0,first_click
2025-02-28,Paid Search,4,2549.0,first_click
2025-03-01,Affiliate,1,799.0,first_click
2025-03-01,Direct,14,13455.0,first_click
2025-03-01,Organic Search,3,3747.0,first_click
2025-03-01,Other,4,7695.0,first_click
2025-03-01,Paid Search,6,6492.0,first_click
2025-03-02,Affiliate,3,2897.0,first_click
2025-03-02,Direct,6,7676.0,first_click
2025-03-02,Organic Search,3,2400.0,first_click
2025-03-02,Other,4,4225.0,first_click
2025-03-02,Paid Search,6,11023.0,first_click
2025-03-03,Affiliate,3,4496.0,first_click
2025-03-03,Direct,10,4878.0,first_click
2025-03-03,Organic Search,1,262.0,first_click
2025-03-03,Other,9,9869.8,first_click
2025-03-03,Paid Search,1,999.0,first_click
2025-03-04,Direct,14,8630.0,first_click
2025-03-04,Other,5,2786.0,first_click
2025-03-04,Paid Search,1,999.0,first_click
2025-03-05,Direct,8,11051.0,first_click
2025-03-05,Organic Search,1,204.0,first_click
2025-03-05,Other,5,4211.0,first_click
2025-03-05,Paid Search,6,5248.0,first_click
2025-03-06,Direct,13,10269.0,first_click
2025-03-06,Other,5,8016.0,first_click
2025-03-06,Paid Search,5,3469.0,first_click
2025-03-07,Direct,8,12329.0,first_click
2025-03-07,Other,6,5695.0,first_click
2025-03-07,Paid Search,2,307.0,first_click
2025-03-08,Direct,12,16384.0,first_click
2025-03-08,Other,5,4303.0,first_click
2025-03-08,Paid Search,4,2198.0,first_click
2025-02-23,Affiliate,1,2599.0,last_click
2025-02-23,Direct,12,10387.0,last_click
2025-02-23,Other,6,2574.0,last_click
2025-02-23,Paid Search,2,4848.0,last_click
2025-02-24,Affiliate,2,1820.6,last_click
2025-02-24,Direct,17,17681.0,last_click
2025-02-24,Other,3,1960.0,last_click
2025-02-24,Paid Search,4,3996.0,last_click
2025-02-25,Direct,7,3661.0,last_click
2025-02-25,Other,4,2267.0,last_click
2025-02-25,Paid Search,5,7615.0,last_click
2025-02-26,Affiliate,1,1549.0,last_click
2025-02-26,Direct,7,10650.0,last_click
2025-02-26,Organic Search,1,2299.0,last_click
2025-02-26,Other,3,709.0,last_click
2025-02-26,Paid Search,2,1898.0,last_click
2025-02-27,Direct,11,9900.0,last_click
2025-02-27,Organic Search,2,511.0,last_click
2025-02-27,Other,6,4910.0,last_click
2025-02-27,Paid Search,1,228.0,last_click
2025-02-28,Affiliate,1,799.0,last_click
2025-02-28,Direct,9,12476.0,last_click
2025-02-28,Other,6,2947.0,last_click
2025-02-28,Paid Search,3,2447.0,last_click
2025-03-01,Affiliate,1,799.0,last_click
2025-03-01,Direct,13,13227.0,last_click
2025-03-01,Organic Search,3,3747.0,last_click
2025-03-01,Other,6,10521.0,last_click
2025-03-01,Paid Search,5,3894.0,last_click
2025-03-02,Affiliate,3,2897.0,last_click
2025-03-02,Direct,7,8825.0,last_click
2025-03-02,Organic Search,3,2650.0,last_click
2025-03-02,Other,3,2826.0,last_click
2025-03-02,Paid Search,6,11023.0,last_click
2025-03-03,Affiliate,4,5495.0,last_click
2025-03-03,Direct,12,6588.8,last_click
2025-03-03,Other,4,6186.0,last_click
2025-03-03,Paid Search,4,2235.0,last_click
2025-03-04,Direct,16,9860.0,last_click
2025-03-04,Other,3,1556.0,last_click
2025-03-04,Paid Search,1,999.0,last_click
2025-03-05,Direct,12,13706.0,last_click
2025-03-05,Other,4,4083.0,last_click
2025-03-05,Paid Search,4,2925.0,last_click
2025-03-06,Direct,15,14486.0,last_click
2025-03-06,Other,4,5398.0,last_click
2025-03-06,Paid Search,4,1870.0,last_click
2025-03-07,Direct,9,12591.0,last_click
2025-03-07,Other,5,5433.0,last_click
2025-03-07,Paid Search,2,307.0,last_click
2025-03-08,Direct,13,15334.0,last_click
2025-03-08,Other,5,5702.0,last_click
2025-03-08,Paid Search,3,1849.0,last_click
