client_id,total_sessions,total_pageviews,days_from_first_visit,channels_touched,channel_path,devices_used,converted,revenue
16C594DF-8deb-4DAB-b767-efc3b82360e6,1,6,0,1,Internal,1,True,1599.0
1735590428-Rw8e53NUAyqh,1,6,0,1,Direct,1,True,179.0
1735611495-J_n2T1HK7vPv,3,3,0,3,Direct > Internal > Organic Search,1,True,1899.0
1735913255-pA-h3CMo96w0,1,2,0,1,Internal,1,True,1599.0
1736048074-aDVs3Y9A_D_y,1,1,0,1,Internal,1,True,1449.0
1736137782-qnlIPdOzIMIV,5,15,0,3,Organic Search > Paid Search > Organic Search > Paid Search > Direct,1,True,262.0
1736790828-mW3_FOMhXHNK,2,3,0,2,Direct > Other,1,True,1349.0
1737213027-8b0K2x6ACOek,1,6,0,1,Other,1,True,899.0
1737221798-dp1kMRfVStrp,8,12,3,1,Direct > Direct > Direct > Direct > Direct,1,True,229.0
1737382881-hEun5tD7Ri_v,3,17,7,2,Other > Direct > Direct,1,True,179.0
1737588711-y19MZTLwAlS_,1,11,0,1,Paid Search,1,True,349.0
1737909439-m_4_M4HT3Clc,1,3,0,1,Direct,1,True,204.0
1738009852-5QlHRCUAcC8Q,2,3,0,2,Internal > Direct,1,True,2654.0
1738114715-VE0OVI-6MY_q,1,4,0,1,Internal,1,True,1277.0
1738458171-9vJJikpUTOb1,3,4,1,2,Other > Other > Direct,1,True,262.0
1738717293-A8SGrDCUzoxx,4,21,11,2,Paid Search > Direct > Paid Search > Paid Search,1,True,1049.0
1738897592-wHdPs3e8dycN,1,8,0,1,Other,1,True,262.0
1738964752-g2l-ElXufGyB,2,4,0,1,Direct > Direct,1,True,0.0
1738979354-oafNfBd0b1z2,4,20,2,3,Paid Search > Other > Direct > Direct,1,True,102.0
1739042523-0dWy0onVklGz,5,68,4,3,Other > Paid Search > Direct > Direct > Direct,1,True,2618.0
1739118999-f2iFqbh8JCVu,4,35,1,2,Direct > Other > Direct > Direct,1,True,2648.0
1739169598-7sjOuU60Y6Eo,11,40,0,4,Direct > Direct > Paid Search > Other > Other,1,True,1427.0
1739320691-_qd89fFOwigp,3,8,0,2,Direct > Other > Direct,1,True,649.0
1739571234-3McSv47Fx1Qm,2,23,1,1,Paid Search > Paid Search,1,True,649.0
1739632959-3UuM3WM5LiF_,2,2,0,2,Direct > Internal,1,True,799.0
1739654536-l0pMsprdf4K1,1,1,0,1,Direct,1,True,799.0
1739661401-YhLQ3Wpa_2yc,1,1,0,1,Direct,1,True,649.0
1739721571-5zHR-SPEGkZr,4,25,9,3,Other > Other > Paid Search > Direct,1,True,349.0
1739722963-bM9HXRvhLpzE,1,3,0,1,Other,1,True,262.0
1739746383-1E2Pdq8Hpsz6,1,2,0,1,Direct,1,True,0.0
1739840232-Qa5gyk_Kwh5w,4,34,1,2,Other > Other > Other > Direct,1,True,2449.0
1739878658-VmIawT4Slalv,6,53,1,2,Organic Search > Organic Search > Organic Search > Organic Search > Organic Search,1,True,409.0
1739902113-HUVj8CdYF8It,1,2,0,1,Direct,1,True,1249.0
1739925043-1AUsr0ad1DEH,1,2,0,1,Direct,1,True,3149.0
1739975044-l6LWN5WR98MB,1,1,0,1,Direct,1,True,2249.0
1739981017-J2pqbRgl8ICL,1,1,0,1,Direct,1,True,949.0
1739985361-5ocesE28hJ3Z,1,2,0,1,Other,1,True,128.0
1740022230-wVcCreN5emU7,1,22,0,1,Direct,1,True,0.0
1740153262-W9ba7W8Fyqbj,1,18,0,1,Other,1,True,262.0
1740178922-Jjc6iIt31tDe,2,17,2,1,Direct > Direct,1,True,1527.0
1740227694-HVyCbgs6JGs1,2,3,0,1,Direct > Direct,1,True,307.0
1740229091-LgTZGGMFMzzz,2,2,0,2,Direct > Organic Search,1,True,1449.0
1740235155-Iyyo-PYeYrfN,4,49,0,2,Direct > Direct > Other > Other,1,True,0.0
1740239035-tdqLa5Lrkuy-,1,2,0,1,Direct,1,True,262.0
1740246936-TR7HRhn1o2cv,1,11,0,1,Other,1,True,1149.0
1740268999-k1PQxqt-fODp,7,23,0,2,Other > Other > Direct > Direct > Other,1,True,245.0
1740273313-tBmCvzjnRa1M,1,2,0,1,Direct,1,True,2128.0
1740274368-gufFljcekA4a,2,3,0,2,Direct > Affiliate,1,True,2599.0
1740280302-XHcA-M3fnqtc,1,1,0,1,Internal,1,True,245.0
1740280410-ag6Ycljew8aX,1,34,0,1,Other,1,True,211.0
1740283703-BeA3uOhllnoW,3,28,0,1,Paid Search > Paid Search > Paid Search,1,True,2549.0
1740285929-kNhpxwGWo7u3,1,14,0,1,Internal,1,True,1599.0
1740307306-6_9iQAayRmHn,3,4,13,2,Direct > Direct > Other,1,True,1449.0
1740318134-170n169CRst0,2,12,0,1,Paid Search > Paid Search,1,True,2299.0
1740319142-0cGR9mXrgY7a,1,2,0,1,Internal,1,True,499.0
1740322032-MGz2QlNnmLit,1,1,0,1,Direct,1,True,102.0
1740324475-gzFxid7EI98q,2,5,0,1,Direct > Direct,1,True,1449.0
1740327276-e965nL-38xWN,4,21,1,2,Other > Direct > Other > Direct,1,True,799.0
1740330024-fdYFQVY4vQpJ,1,12,0,1,Other,1,True,245.0
1740331321-r0oNQ2MSMJj1,1,13,0,1,Other,1,True,1349.0
1740342213-wO7WjZIoZlw2,2,9,1,1,Direct > Direct,1,True,245.0
1740353042-u00VNVwShqi7,1,18,0,1,Other,1,True,262.0
1740354406-05uJBqjzNLCr,1,11,0,1,Paid Search,1,True,349.0
1740354432-siarlMkZUacD,1,1,0,1,Internal,1,True,949.0
1740356123-1bfvg97pRZDo,2,2,8,1,Direct > Direct,1,True,649.0
1740357638-9tfvOEhPzURB,1,2,0,1,Direct,1,True,127.0
1740361226-rivvi4JqPuzY,4,12,0,2,Direct > Direct > Direct > Other,1,True,499.0
1740367034-S45_sOx0uTdt,2,4,0,2,Internal > Direct,1,True,1599.0
1740369480-TyDhYip-VIAZ,1,2,0,1,Direct,1,True,128.0
1740375050-XlC0gkccY9RX,2,2,0,2,Direct > Internal,1,True,399.0
1740375905-ogainOy22IfS,1,10,0,1,Paid Search,1,True,1899.0
1740388834-Se_QNh_trw4d,1,3,0,1,Internal,1,True,1399.0
1740394685-BMUHlEYXGIsS,2,3,0,1,Direct > Direct,1,True,2149.0
1740401153-lr8JFh8YtfIT,1,1,0,1,Direct,1,True,799.0
1740404510-RR2JJVeKrqEa,1,1,0,1,Internal,1,True,0.0
1740410100-6Pc-00Mf6SHj,1,1,0,1,Affiliate,1,True,421.6
1740416131-ALCfOgIbMQtB,1,2,0,1,Direct,1,True,3233.0
1740416598-nykttCSDtxUO,1,11,0,1,Other,1,True,899.0
1740419966-ekW7LffQY_mQ,1,1,0,1,Affiliate,1,True,1399.0
1740420503-CDX4af0XJcby,3,90,1,1,Paid Search > Paid Search > Paid Search,1,True,4248.0
1740422911-uSQmp4BHfUNc,1,1,0,1,Direct,1,True,799.0
1740425024-qu9BNEPk5H34,2,15,0,1,Direct > Direct,1,True,1778.0
1740426329-uHYSiBnw3oSI,1,8,0,1,Paid Search,1,True,649.0
1740429626-KL7CIMnNyHr6,3,29,1,3,Paid Search > Organic Search > Direct,1,True,2299.0
1740435325-OQW2KrRz-f87,1,8,0,1,Paid Search,1,True,1099.0
1740435501-V9T5cBuBY-0p,1,2,0,1,Direct,1,True,179.0
1740435624-t7_Lldpg-gJE,2,4,0,2,Direct > Paid Search,1,True,245.0
1740446367-p2cxMCf-rR9O,1,1,0,1,Direct,1,True,949.0
1740462395-49MBDvvw8EMB,1,2,0,1,Direct,1,True,2149.0
1740463769-CXbM4e_bRw6w,5,15,0,2,Direct > Direct > Direct > Organic Search > Organic Search,1,True,228.0
